id,text,sentiment,source,date,sentiment_encoded,cleaned_text
1,Absolutely love this product! It exceeded all my expectations and the quality is outstanding. Will definitely recommend to friends and family.,positive,Product Review,2026-01-15,2,absolutely love product exceed expectation quality outstanding definitely recommend friend family
2,"The service was okay, nothing special. Delivery was on time but the packaging could have been better. Average experience overall.",neutral,Customer Feedback,2026-01-16,1,service okay nothing special delivery time packaging could better average experience overall
3,Terrible experience! The product arrived damaged and customer support was unhelpful. Complete waste of money. Never ordering again.,negative,Product Review,2026-01-17,0,terrible experience product arrive damage customer support unhelpful complete waste money never order
4,This is the best purchase I've made this year! The features are amazing and it works exactly as advertised. Highly satisfied customer here!,positive,Social Media,2026-01-18,2,best purchase ive make year feature amaze work exactly advertise highly satisfied customer
5,Received the package today. It looks decent but haven't tried it yet. Will update after a week of use.,neutral,Social Media,2026-01-19,1,receive package today look decent havent try yet update week use
6,So disappointed with this purchase. The description was misleading and the actual product is nothing like what was shown in the pictures.,negative,Product Review,2026-01-20,0,disappointed purchase description mislead actual product nothing like show picture
7,Great value for money! The build quality is solid and it performs really well. Shipping was fast too. Very happy with this purchase!,positive,Customer Feedback,2026-01-21,2,great value money build quality solid performs really well ship fast happy purchase
8,"Just unboxed my order. Standard quality, meets basic requirements. Not exceptional but does the job. Fair price for what you get.",neutral,Social Media,2026-01-22,1,unboxed order standard quality meet basic requirement exceptional job fair price get
9,Worst customer service I've ever experienced. Three weeks and my issue is still not resolved. Absolutely frustrating and unprofessional.,negative,Customer Feedback,2026-01-23,0,worst customer service ive ever experience three week issue still resolve absolutely frustrating unprofessional
10,"Five stars! This product changed my daily routine for the better. Excellent quality, beautiful design, and amazing functionality!",positive,Product Review,2026-01-24,2,five star product change daily routine well excellent quality beautiful design amazing functionality
11,The product works as expected. Nothing extraordinary but nothing to complain about either. Average performance for the price point.,neutral,Product Review,2026-01-25,1,product work expect nothing extraordinary nothing complain either average performance price point
12,Completely broken on arrival! Requested a refund but still waiting after two weeks. This company has lost a customer forever.,negative,Social Media,2026-01-26,0,completely broken arrival request refund still wait two week company lose customer forever
13,Impressed beyond words! The attention to detail is remarkable. Best investment I've made in a long time. Truly exceptional product!,positive,Customer Feedback,2026-01-27,2,impressed beyond word attention detail remarkable best investment ive make long time truly exceptional product
14,Received my order yesterday. First impressions are neither good nor bad. Will need more time to form a complete opinion.,neutral,Social Media,2026-01-28,1,receive order yesterday first impression neither good bad need time form complete opinion
15,"Don't waste your money on this garbage! Poor quality materials, horrible design, and falls apart after first use. Total scam!",negative,Product Review,2026-01-29,0,dont waste money garbage poor quality material horrible design fall apart first use total scam
16,Amazing quality and fast delivery. The product looks even better in person than in the photos. Exceeded my expectations!,positive,Product Review,2026-01-30,2,amazing quality fast delivery product look even well person photo exceed expectation
17,It's an average product. Does what it's supposed to do but nothing more. No complaints but no praises either.,neutral,Customer Feedback,2026-01-31,1,average product suppose nothing complaint praise either
18,Horrible experience from start to finish. The product is a complete failure and the company refuses to acknowledge issues.,negative,Social Media,2026-02-01,0,horrible experience start finish product complete failure company refuse acknowledge issue
19,Best thing I've bought online! Super impressed with the quality. Already ordered two more for gifts. Highly recommend!,positive,Social Media,2026-02-02,2,best thing ive buy online super impressed quality already order two gift highly recommend
20,Package arrived in good condition. The item seems okay. Will test it more before giving a final verdict.,neutral,Product Review,2026-02-03,1,package arrive good condition item seem okay test give final verdict
21,Avoid this product at all costs! It stopped working after just one week. Customer support is non-existent.,negative,Customer Feedback,2026-02-04,0,avoid product cost stop work one week customer support nonexistent
22,Wow! Just wow! This exceeded every expectation I had. Worth every penny and more. Thank you for this amazing product!,positive,Product Review,2026-02-05,2,wow wow exceed every expectation worth every penny thank amazing product
23,"Standard shipping, standard product, standard everything. Nothing stood out positively or negatively about this purchase.",neutral,Social Media,2026-02-06,1,standard ship standard product standard everything nothing stand positively negatively purchase
24,Extremely disappointed. False advertising and poor quality. Demanded refund but got no response. Stay away!,negative,Product Review,2026-02-07,0,extremely disappointed false advertising poor quality demand refund get response stay away
25,I can't believe how good this is! My whole family loves it. Best decision we made this month.,positive,Customer Feedback,2026-02-08,2,cant believe good whole family love best decision make month
26,"The product arrived on time. Packaging was adequate. Performance is exactly as described - nothing more, nothing less.",neutral,Product Review,2026-02-09,1,product arrive time packaging adequate performance exactly describe nothing nothing less
27,Total rip-off! The quality is nowhere near what was promised. Feeling completely cheated by this purchase.,negative,Social Media,2026-02-10,0,total ripoff quality nowhere near promise feeling completely cheat purchase
28,Outstanding! This has become an essential part of my daily life. Can't imagine going back to what I used before.,positive,Social Media,2026-02-11,2,outstanding become essential part daily life cant imagine go back use
29,It works. That's about all I can say. Not impressed but not disappointed either. Just a regular product.,neutral,Customer Feedback,2026-02-12,1,work thats say impress disappointed either regular product
30,Save your money and buy something else. This product is a joke. Worst purchase I've ever made online.,negative,Product Review,2026-02-13,0,save money buy something else product joke bad purchase ive ever make online
31,Life-changing product! I've already recommended it to all my friends and colleagues. Simply the best out there.,positive,Product Review,2026-02-14,2,lifechanging product ive already recommended friend colleague simply best
32,Decent quality for the price. Does the basic functions well. Might consider buying again in the future.,neutral,Social Media,2026-02-15,1,decent quality price basic function well might consider buy future
33,Absolutely terrible! Broke within days of purchase. No warranty support. Complete waste of time and money.,negative,Customer Feedback,2026-02-16,0,absolutely terrible break within day purchase warranty support complete waste time money
34,Perfect in every way! From ordering to delivery to the product itself - everything was flawless. 10/10!,positive,Customer Feedback,2026-02-17,2,perfect every way order delivery product everything flawless
35,"Mixed feelings about this purchase. Some features are good, others not so much. Overall, it's just okay.",neutral,Product Review,2026-02-18,1,mixed feeling purchase feature good others much overall okay
36,Regret buying this. The reviews were misleading and the product quality is subpar. Very disappointed.,negative,Social Media,2026-02-19,0,regret buying review mislead product quality subpar disappoint
37,Exceeded expectations! The quality is superb and the price was very reasonable. Already planning my next purchase.,positive,Social Media,2026-02-20,2,exceed expectation quality superb price reasonable already plan next purchase
38,Nothing special about this product. It's functional but unremarkable. Average across all aspects.,neutral,Customer Feedback,2026-02-21,1,nothing special product functional unremarkable average across aspect
39,"Complete disaster! Product arrived late, damaged, and different from description. Absolute nightmare experience.",negative,Product Review,2026-02-22,0,complete disaster product arrive late damage different description absolute nightmare experience
40,Fantastic product! My friends were so impressed they all ordered one too. Couldn't be happier with this purchase!,positive,Product Review,2026-02-23,2,fantastic product friend impressed order one couldnt happy purchase
41,Adequate for basic needs. Won't wow you but won't let you down either. Fair deal for the money.,neutral,Social Media,2026-02-24,1,adequate basic need wont wow wont let either fair deal money
42,Horrible quality control! Every unit I received had defects. Finally gave up and demanded a full refund.,negative,Customer Feedback,2026-02-25,0,horrible quality control every unit receive defect finally give demand full refund
43,"This is everything I hoped for and more! Beautifully designed, perfectly functional, absolutely love it!",positive,Customer Feedback,2026-02-26,2,everything hop beautifully design perfectly functional absolutely love
44,"Product is okay. Nothing wrong with it per se, just doesn't stand out from the competition in any way.",neutral,Product Review,2026-02-27,1,product okay nothing wrong per se doesnt stand competition way
45,"Never again! This company has lost all credibility with me. Product failed, support failed, everything failed.",negative,Social Media,2026-02-28,0,never company lose credibility product fail support fail everything fail
46,Brilliant! Such attention to detail and quality craftsmanship. A true gem among similar products.,positive,Product Review,2026-03-01,2,brilliant attention detail quality craftsmanship true gem among similar product
47,"Got what I paid for. No surprises, good or bad. Standard experience with a standard product.",neutral,Customer Feedback,2026-03-02,1,get pay surprise good bad standard experience standard product
48,"Disappointed beyond words. Such high hopes based on the marketing, but reality was very different.",negative,Product Review,2026-03-03,0,disappointed beyond word high hope base marketing reality different
49,Simply phenomenal! This has improved my life in ways I didn't expect. Worth every single penny!,positive,Social Media,2026-03-04,2,simply phenomenal improve life way didnt expect worth every single penny
50,Middle of the road product. Neither excited nor upset about this purchase. It serves its purpose.,neutral,Social Media,2026-03-05,1,middle road product neither excited upset purchase serf purpose
